Type,Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
1,40,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0
1,59,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0.0,0.0
1,37,1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0.0
1,22,1.51966,14.77,3.75,0.29,72.02,0.03,9.0,0.0,0.0
1,10,1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11
1,68,1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0.0,0.17
1,48,1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0.0,0.1
2,82,1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0.0,0.0
2,141,1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0.0,0.0
2,89,1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0.0,0.0
2,71,1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0.0,0.12
2,88,1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0.0,0.1
2,104,1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0.0,0.0
2,118,1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0.0,0.0
3,149,1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0.0,0.1
5,173,1.51321,13.0,0.0,3.02,70.7,6.21,6.93,0.0,0.0
7,196,1.51545,14.14,0.0,2.68,73.39,0.08,9.07,0.61,0.05
7,193,1.51623,14.2,0.0,2.79,73.46,0.04,9.04,0.4,0.09
