Type,Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
1,53,1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0.0,0.0
1,67,1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0.0,0.17
1,27,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0
1,62,1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0.0
1,9,1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0
1,41,1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0.0,0.0
1,14,1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.0,0.17
2,91,1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.0,0.22
2,107,1.53125,10.73,0.0,2.1,69.81,0.58,13.3,3.15,0.28
2,140,1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0.0,0.0
2,136,1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0.0,0.28
2,123,1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0.0,0.0
2,81,1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0.0,0.0
2,77,1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0.0,0.0
2,109,1.52222,14.43,0.0,1.0,72.67,0.1,11.52,0.0,0.08
3,155,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0
3,156,1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0.0,0.0
5,170,1.51994,13.27,0.0,1.76,73.03,0.47,11.32,0.0,0.0
5,165,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0.0,0.0
6,179,1.51829,14.46,2.24,1.62,72.38,0.0,9.26,0.0,0.0
7,197,1.51556,13.87,0.0,2.54,73.23,0.14,9.41,0.81,0.01
7,214,1.51711,14.23,0.0,2.08,73.36,0.0,8.62,1.67,0.0
7,187,1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0.0
