Type,Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
1,15,1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0.0,0.0
1,28,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.0,0.0
1,21,1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0.0,0.19
1,47,1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0.0,0.16
1,63,1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0.0,0.11
1,3,1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0
1,60,1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0.0,0.11
2,102,1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0.0,0.0
2,125,1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0.0,0.0
2,117,1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0.0,0.1
2,124,1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0.0,0.0
2,131,1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0.0,0.0
2,119,1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0.0,0.29
2,74,1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0.0,0.0
2,99,1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0.0,0.0
3,162,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24
3,150,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0
5,164,1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0.0
6,182,1.51888,14.99,0.78,1.74,72.5,0.0,9.95,0.0,0.0
7,200,1.51609,15.01,0.0,2.51,73.05,0.05,8.83,0.53,0.0
7,206,1.51732,14.95,0.0,1.8,72.99,0.0,8.61,1.55,0.0
7,208,1.51831,14.39,0.0,1.82,72.86,1.41,6.47,2.88,0.0
