Type,Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
1,44,1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0.0,0.0
1,11,1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24
1,4,1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0
1,51,1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0.0,0.16
1,1,1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0
1,65,1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0.0,0.07
1,42,1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0.0,0.0
2,94,1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0.0,0.0
2,135,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0.0,0.0
2,114,1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0.0,0.14
2,95,1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0.0,0.0
2,126,1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0.0,0.12
2,96,1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0.0,0.0
2,86,1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0.0,0.0
2,79,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0.0,0.14
3,153,1.51779,13.64,3.65,0.65,73.0,0.06,8.93,0.0,0.0
3,147,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0.0,0.0
5,168,1.51969,12.64,0.0,1.65,73.75,0.38,11.53,0.0,0.0
6,184,1.51969,14.56,0.0,0.56,73.48,0.0,11.22,0.0,0.0
7,191,1.51613,13.88,1.78,1.79,73.1,0.0,8.67,0.76,0.0
7,205,1.51617,14.95,0.0,2.27,73.3,0.0,8.71,0.67,0.0
7,212,1.52065,14.36,0.0,2.02,73.42,0.0,8.44,1.64,0.0
