Type,Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
1,38,1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0.0,0.0
1,6,1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26
1,56,1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0.0,0.24
1,13,1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0.0,0.24
1,19,1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0.0,0.0
1,16,1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0.0,0.0
1,8,1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0
2,90,1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0.0,0.09
2,76,1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0.0,0.0
2,97,1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0.0,0.15
2,138,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.0,0.0
2,84,1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0.0,0.09
2,146,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0.0,0.35
2,113,1.52777,12.64,0.0,0.67,72.02,0.06,14.4,0.0,0.0
2,75,1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0.0,0.0
3,161,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0.0,0.0
3,154,1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0.0,0.0
5,171,1.52369,13.44,0.0,1.58,72.22,0.32,12.24,0.0,0.0
5,169,1.51666,12.86,0.0,1.83,73.88,0.97,10.17,0.0,0.0
6,177,1.51905,14.0,2.39,1.56,72.37,0.0,9.57,0.0,0.0
7,198,1.51727,14.7,0.0,2.34,73.28,0.0,8.95,0.66,0.0
7,203,1.51514,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0
7,195,1.51683,14.56,0.0,1.98,73.29,0.0,8.52,1.57,0.07
