Type,Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
1,54,1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0.0,0.0
1,35,1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0.0,0.0
1,29,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.0,0.0
1,32,1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0.0,0.0
1,33,1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22
1,30,1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0.0,0.0
1,26,1.51764,12.98,3.54,1.21,73.0,0.65,8.53,0.0,0.0
2,143,1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25
2,100,1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0.0
2,83,1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0.0,0.0
2,80,1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0.0,0.0
2,116,1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0.0,0.0
2,73,1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0.0,0.0
2,78,1.51627,13.0,3.58,1.54,72.83,0.61,8.04,0.0,0.0
3,148,1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0
5,175,1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51
6,178,1.51937,13.79,2.41,1.19,72.76,0.0,9.77,0.0,0.0
7,202,1.51653,11.95,0.0,1.19,75.18,2.7,8.93,0.0,0.0
7,204,1.51658,14.8,0.0,1.99,73.11,0.0,8.28,1.71,0.0
7,194,1.51719,14.75,0.0,2.0,73.02,0.0,8.53,1.59,0.08
