Type,Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
1,64,1.52227,14.17,3.81,0.78,71.35,0.0,9.69,0.0,0.0
1,34,1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06
1,17,1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0.0,0.0
1,23,1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0.0,0.0
1,46,1.519,13.49,3.48,1.35,71.95,0.55,9.0,0.0,0.0
1,5,1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0
1,45,1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0.0,0.3
2,127,1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0.0,0.0
2,142,1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17
2,145,1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0.0,0.24
2,87,1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0.0,0.0
2,72,1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0.0,0.32
2,144,1.51709,13.0,3.47,1.79,72.72,0.66,8.18,0.0,0.0
2,98,1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0.0,0.24
2,137,1.51806,13.0,3.8,1.08,73.07,0.56,8.38,0.0,0.12
3,159,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0.0,0.0
3,163,1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0.0,0.37
5,167,1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0.0,0.0
5,174,1.52043,13.38,0.0,1.4,72.25,0.33,12.5,0.0,0.0
6,181,1.51299,14.4,1.74,1.54,74.55,0.0,7.59,0.0,0.0
7,190,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0.0
7,209,1.5164,14.37,0.0,2.74,72.85,0.0,9.45,0.54,0.0
7,192,1.51602,14.85,0.0,2.38,73.28,0.0,8.76,0.64,0.09
