Type,Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
1,36,1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0.0,0.0
1,58,1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0.0,0.0
1,66,1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0.0,0.0
1,2,1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0
1,43,1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0.0,0.0
1,18,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.0,0.0
1,39,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0
2,121,1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0.0,0.0
2,106,1.52475,11.45,0.0,1.88,72.19,0.81,13.24,0.0,0.34
2,133,1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0.0,0.0
2,134,1.518,13.71,3.93,1.54,71.81,0.54,8.21,0.0,0.15
2,129,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17
2,115,1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0.0,0.0
2,128,1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0.0,0.17
3,152,1.52127,14.32,3.9,0.83,71.5,0.0,9.49,0.0,0.0
5,166,1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0.0,0.0
6,180,1.51852,14.09,2.19,1.66,72.67,0.0,9.32,0.0,0.0
7,211,1.51685,14.92,0.0,1.99,73.06,0.0,8.4,1.59,0.0
7,189,1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0.0,0.0
7,207,1.51645,14.94,0.0,1.87,73.11,0.0,8.67,1.38,0.0
